TimeSeries ID,c398f85d-38b0-4c9c-96ec-b76190d1645b-0-0
project_id,my-microservice-test-project
Mon Dec 16 2024 14:44:00 GMT+0100 (Central European Standard Time),1.145
Mon Dec 16 2024 14:45:00 GMT+0100 (Central European Standard Time),1.145
Mon Dec 16 2024 14:46:00 GMT+0100 (Central European Standard Time),1.115
Mon Dec 16 2024 14:47:00 GMT+0100 (Central European Standard Time),0.65
Mon Dec 16 2024 14:48:00 GMT+0100 (Central European Standard Time),0.74
Mon Dec 16 2024 14:49:00 GMT+0100 (Central European Standard Time),0.66
Mon Dec 16 2024 14:50:00 GMT+0100 (Central European Standard Time),0.645
Mon Dec 16 2024 14:51:00 GMT+0100 (Central European Standard Time),0.67
Mon Dec 16 2024 14:52:00 GMT+0100 (Central European Standard Time),0.65
Mon Dec 16 2024 14:53:00 GMT+0100 (Central European Standard Time),0.635
Mon Dec 16 2024 14:54:00 GMT+0100 (Central European Standard Time),0.665
Mon Dec 16 2024 14:55:00 GMT+0100 (Central European Standard Time),0.66
Mon Dec 16 2024 14:56:00 GMT+0100 (Central European Standard Time),0.65
Mon Dec 16 2024 14:57:00 GMT+0100 (Central European Standard Time),0.65
Mon Dec 16 2024 14:58:00 GMT+0100 (Central European Standard Time),0.665
Mon Dec 16 2024 14:59:00 GMT+0100 (Central European Standard Time),0.655
Mon Dec 16 2024 15:00:00 GMT+0100 (Central European Standard Time),0.64
Mon Dec 16 2024 15:01:00 GMT+0100 (Central European Standard Time),0.645